"settimana","giorno","primo","secondo","contorno","frutta","spuntino","season"
"1","Venerdì","Pasta senza glutine zucca e speck","Hamburger vegetariano (no glutine)","Broccoli all’olio","Frutta di stagione  ","Succo + biscotti","2"
"1","Giovedì","Pasta senza glutine olio e grana","Fesa di tacchino all’arancia","Carote baby al prezzemolo","Frutta di stagione  ","Yogurt","2"
"1","Mercoledì","Pasta senza glutine al pomodoro","Platessa dorata con pane grattuggiato senza glutine","Spinaci all’olio","Frutta di stagione  ","Crostatina","2"
"1","Martedì","Pasta senza glutine e fagioli","Fusi di pollo Agli aromi","Cavolfiori gratinati","Frutta di stagione  ","Focaccina (monoporzione)SENZA
GLUTINE","2"
"1","Lunedì","Risotto ai funghi","Fesa di tacchino (affettato)","Insalata verde","Frutta di stagione  ","Frutta di stagione","2"
"2","Venerdì","Pasta senza glutine olio e grana","Merluzzo in umido con pomodorini","Finocchi in insalata","Frutta di stagione  ","Cracker senza glutine","2"
"2","Giovedì","Passato di verdure con crostini senza glutine","Polpette di pollo SENZA GLUTINE","Patate al forno","Frutta di stagione  ","Biscotti senza glutine","2"
"2","Mercoledì","Pasta senza glutine con zucchine e salmone","Frittata","Cavolfiori gratinati","Frutta di stagione  ","Budino","2"
"2","Martedì","Riso con piselli","Arrosto di maiale al forno","Insalata verde","Frutta di stagione  ","Yogurt","2"
"2","Lunedì","Pasta senza glutine
pomodoro e tonno","Toma piemontese","Fagiolini all’olio","Frutta di stagione  ","Frutta di stagione","2"
"3","Venerdì","Gnocchi senza glutine al pomodoro","Filetto di merluzzo agli aromi","Carote al prezzemolo","Frutta di stagione  ","Budino","2"
"3","Giovedì","Crema di verdure con riso","Spezzatini di vitello con patate","Biete saltate","Frutta di stagione  ","Yogurt","2"
"3","Mercoledì","Pasta senza glutine con ragù","Piselli prezzemolati","Insalata verde","Frutta di stagione  ","Biscotti senza glutine","2"
"3","Martedì","Pasta senza glutine al ragù di verdure","Arista al latte","Broccoli all’olio","Frutta di stagione  ","Cracker senza glutine","2"
"3","Lunedì","Quinoa con lenticchie","Formaggio piemontese","Patate al forno","Frutta di stagione  ","Frutta di stagione","2"
"4","Venerdì","Risotto allo zafferano","Merluzzo gratinato con pane grattato senza glutine","Broccoli all’olio","Frutta di stagione  ","Snack dolce senza glutine","2"
"4","Giovedì","Pizza margherita (base senza glutine)","½  porzione di prosciutto","Insalata","Frutta di stagione  ","Yogurt","2"
"4","Mercoledì","Pasta senza glutine olio e grana","Hamburger di carne","Spinaci all’olio","Frutta di stagione  ","Cracker senza glutine","2"
"4","Martedì","Pasta senza glutine al pesto","Frittata con spinaci","Cavolfiori gratinati","Frutta di stagione  ","Biscotti senza glutine","2"
"4","Lunedì","Crema di ceci e porri con crostini senza glutine","Spiedini di pollo","Patate Al forno","Frutta di stagione  ","Frutta di stagione","2"
