"settimana","giorno","primo","secondo","contorno","frutta","spuntino"
"1","Venerdì","Pasta integrale zucca e speck","Hamburger vegetariano Senza lattosio","Broccoli all’olio","Frutta di stagione  ","Succo + biscotti senza lattosio"
"1","Giovedì","Gnocchi ALL’OLIO (senza lattosio)","Fesa di tacchino all’arancia","Carote baby al prezzemolo","Frutta di stagione  ","Yogurt di soia"
"1","Mercoledì","Pasta integrale al pomodoro","Platessa dorata","Spinaci all’olio","Frutta di stagione  ","Biscotti senza lattosio"
"1","Martedì","Pasta e fagioli","Fusi di pollo Agli aromi","Cavolfiori all’olio","Frutta di stagione  ","Focaccina (monoporzione)Senza
lattosio"
"1","Lunedì","Risotto ai funghi (no burro)","Fesa di tacchino (affettato)","Insalata verde","Frutta di stagione  ","Frutta di stagione"
"2","Venerdì","Pasta ALL’OLIO","Merluzzo in umido con pomodorini","Finocchi in insalata","Frutta di stagione  ","Schiacciatina"
"2","Giovedì","Passato di verdure con
crostini","Polpette di pollo (no lattosio)","Patate al forno","Frutta di stagione  ","Barretta di cereali"
"2","Mercoledì","Pasta integrale con zucchine e salmone","Frittata","Cavolfiori all’olio","Frutta di stagione  ","Budino senza lattosio"
"2","Martedì","Orzotto con piselli","Arrosto di maiale al forno","Insalata verde","Frutta di stagione  ","Yogurt senza lattosio"
"2","Lunedì","Pasta pomodoro e tonno","TONNO","Fagiolini all’olio","Frutta di stagione  ","Frutta di stagione"
"3","Venerdì","Gnocchi SENZA LATTOSIO al pomodoro","Cotoletta di pesce impanata al forno","Carote al prezzemolo","Frutta di stagione  ","Barretta multicereale"
"3","Giovedì","Crema di verdure con riso","Spezzatini di vitello con patate","Biete saltate","Frutta di stagione  ","YOGURT DI SOIA"
"3","Mercoledì","Pasta al ragù","Piselli prezzemolati","Insalata verde","Frutta di stagione  ","Biscotti senza lattosio"
"3","Martedì","Pasta integrale al ragù di verdure","Arista al forno","Broccoli all’olio","Frutta di stagione  ","Tarallini"
"3","Lunedì","Farro con lenticchie","TONNO SOTT’OLIO","Patate al forno","Frutta di stagione  ","Frutta di stagione"
"4","Venerdì","Risotto allo zafferano (no burro)","Merluzzo gratinato","Broccoli all’olio","Frutta di stagione  ","Merenda dolce senza
lattosio"
"4","Giovedì","Pizza con mozzarella senza lattosio","½  porzione di prosciutto","Insalata","Frutta di stagione  ","Yogurt senza lattosio"
"4","Mercoledì","Pasta olio e grana","Hamburger di carne","Spinaci all’olio","Frutta di stagione  ","focaccina"
"4","Martedì","Pasta integrale al pesto","Uova sode","Cavolfiori all’olio","Frutta di stagione  ","Barretta multicereale"
"4","Lunedì","Crema di ceci e porri con crostini","Spiedini di pollo","Patate Al forno","Frutta di stagione  ","Frutta di stagione"
